Project ID,Name,Commercial Name,State,County,Status,Transmission Owner,MFO,MW Energy,MW Capacity,MW In Service,Capacity or Energy,Project Type,Fuel,Project (AC/DC),Rights (MW),Initial Study,Feasibility Study,Feasibility Study Status,System Impact Study,System Impact Study Status,Facilities Study,Facilities Study Status,Interim/Interconnection Service/Generation Interconnection Agreement,Interim/Interconnection Service/Generation Interconnection Agreement Status,Wholesale Market Participation Agreement,Construction Service Agreement,Construction Service Agreement Status,Upgrade Construction Service Agreement,Upgrade Construction Service Agreement Status,Backfeed Date,Submitted Date,Long-Term Firm Service Start Date,Long-Term Firm Service End Date,Test Energy Date,Withdrawal Date,Withdrawn Remarks,Projected In Service Date,Commercial Operation Milestone,Actual In Service Date,Attachment Type,Alternate Project,Sliding Project
AB2-158,Louisa-South Anna 230kV,Belcher Solar,VA,Louisa,In Service,Dominion,88.2,88.2,61.0,88.2,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2158_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2158_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/ab2158_fac.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ab2_158_isa.pdf,Document Posted,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/csa/ab2_158_csa.pdf,Document Posted,,,,4/29/2016,,,5/31/2021,,,12/1/2020,12/1/2020,6/30/2021,N,No,
AB2-159,Lumberton 13kV,,NJ,Burlington,Withdrawn,PSEG,8.1,1.3,0.0,,Energy,Generation Interconnection,Solar,,,,,Withdrawn,,Withdrawn,,,,,,,,,,,4/29/2016,,,,12/11/2017,,10/3/2016,,,N,No,
AB2-160,Reams 115kV,Reams Solar,VA,Dinwiddie,Withdrawn,Dominion,80.0,80.0,30.4,,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2160_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2160_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/ab2160_fac.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ab2_160_isa.pdf,Document Posted,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/csa/ab2_160_csa.pdf,Document Posted,,,5/31/2026,4/30/2016,,,10/30/2026,7/18/2024,,12/31/2022,12/31/2022,,N,No,
AB2-161,Waverly #2 DP 115kV,Waverly Solar,VA,Sussex,In Service,Dominion,50.0,50.0,19.0,50.0,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2161_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2161_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/ab2161_fac.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/isa/ab2_161_isa.pdf,Document Posted,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/csa/ab2_161_csa.pdf,Document Posted,,,11/2/2023,5/2/2016,,,12/21/2023,,,12/29/2023,12/29/2023,3/14/2024,N,No,
AB2-162,Camden 480V,,NJ,Camden,Withdrawn,PSEG,0.21,0.21,0.0,,Energy,Generation Interconnection,Natural Gas,,,,,Not Required,,Not Required,,Not Required,,Withdrawn,,,Not Required,,,,4/29/2016,,,,9/30/2016,Customer Milestone Not Met,12/31/2016,,,Y,No,
AB2-163,Sicklerville 12kV,,NJ,Camden,Withdrawn,AEC,0.21,0.21,0.0,,Energy,Generation Interconnection,Natural Gas,,,,,Withdrawn,,,,,,,,,,,,,4/29/2016,,,,6/28/2016,Customer Initiated Withdrawal,12/31/2016,,,Y,No,
AB2-164,Wattsville-Wallops Island 69kV,,VA,Accomack,Withdrawn,ODEC,20.0,20.0,7.6,,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2164_fea.pdf,Document Posted,,,,,,,,,,,,,4/29/2016,,,,9/26/2016,Customer Initiated Withdrawal,1/1/2018,,,N,No,
AB2-165,Tasley-Oak Hall 69kV I,,VA,Accomack,Withdrawn,ODEC,20.0,20.0,7.6,,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2165_fea.pdf,Document Posted,,,,,,,,,,,,,4/29/2016,,,,9/26/2016,Customer Initiated Withdrawal,1/1/2018,,,N,No,
AB2-166,Edgewood 12kV,Aydelotte Solar Project,MD,Wicomico,Withdrawn,DPL,5.5,5.5,2.0,,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2166_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2166_imp.pdf,Document Posted,,Not Required,,Wholesale Market Participation Agreement,https://www.pjm.com/pjmfiles/pub/planning/project-queues/wmpa/ab2166_wmpa.pdf,https://www.pjm.com/pjmfiles/pub/planning/project-queues/csa/ab2166_wmpa.pdf,Not Required,,,,4/29/2016,,,,1/10/2019,,3/31/2019,3/31/2019,,N,No,
AB2-167,Stockton 69kV,,MD,Worcester,Withdrawn,DPL,14.0,14.0,5.3,,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2167_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2167_imp.pdf,Document Posted,,,,,,,,,,,4/29/2016,,,,8/11/2017,Customer Initiated Withdrawal,11/1/2017,,,N,No,
AB2-168,Perch 34.5kV,Crouse Solar Project,MD,Cecil,Withdrawn,DPL,9.0,10.0,3.8,,Capacity,Generation Interconnection,Solar,,,,https://www.pjm.com/pjmfiles/pub/planning/project-queues/feas_docs/ab2168_fea.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/impact_studies/ab2168_imp.pdf,Document Posted,https://www.pjm.com/pjmfiles/pub/planning/project-queues/facilities/ab2168_fac.pdf,Document Posted,,Wholesale Market Participation Agreement,https://www.pjm.com/pjmfiles/pub/planning/project-queues/wmpa/ab2168_wmpa.pdf,https://www.pjm.com/pjmfiles/pub/planning/project-queues/csa/ab2168_wmpa.pdf,Not Required,,,,4/29/2016,,,,3/9/2020,,9/6/2022,9/6/2022,,N,No,
