ProjectID,Cycle,State,Status,ProjectType,TransmissionOwner,Zone,MFO,MW_Energy,MW_Capacity,CapacityOrEnergy,Fuel,FuelPrimary,InServiceYear,TransmissionType
AG2-104,TC2,OH,Active,Generation Interconnection,AEP,AEP,200.0,200.0,126.85,CAPACITY_RESOURCE,Solar,Solar,2030,
AG2-106,TC2,OH,Active,Generation Interconnection,AEP,AEP,800.0,0.0,150.0,CAPACITY_RESOURCE,Storage,Storage,2029,
AG2-107,TC2,OH,Active,Generation Interconnection,AEP,AEP,800.0,0.0,150.0,CAPACITY_RESOURCE,Storage,Storage,2029,
AG2-119,TC2,OH,Active,Generation Interconnection,ATSI,ATSI,80.0,80.0,53.6,CAPACITY_RESOURCE,Solar,Solar,2029,
AH1-542,TC2,OH,Active,Generation Interconnection,ATSI,ATSI,110.0,110.0,22.0,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",Solar,2028,
AH1-704,TC2,OH,Active,Generation Interconnection,AEP,AEP,509.0,24.0,20.0,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2026,
AG2-057,TC2,OH,Active,Generation Interconnection,ATSI,ATSI,74.0,10.0,6.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AH1-060,TC2,OH,Active,Generation Interconnection,ATSI,ATSI,94.0,20.0,12.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AH1-282,TC2,OH,Active,Generation Interconnection,AEP,AEP,49.9,49.9,45.9,CAPACITY_RESOURCE,Solar,Solar,2027,
AH1-661,TC2,OH,Active,Generation Interconnection,AEP,AEP,10.07,10.07,9.06,CAPACITY_RESOURCE,Other,Other,2026,
AG2-406,TC2,OH,Active,Generation Interconnection,AEP,AEP,49.9,0.0,10.98,CAPACITY_RESOURCE,Solar,Solar,2025,
AF2-376,TC1,OH,EP,Generation Interconnection,AEP,AEP,147.0,50.0,20.0,Capacity,Storage,Storage,2029,
AG2-125,TC2,OH,Active,Generation Interconnection,DAYTON,DAY,69.9,0.0,15.44,CAPACITY_RESOURCE,Solar,Solar,2027,
AG2-405,TC2,OH,Active,Generation Interconnection,AEP,AEP,49.9,0.0,10.98,CAPACITY_RESOURCE,Solar,Solar,2025,
AG2-289,TC2,OH,Active,Generation Interconnection,AEP,AEP,66.6,66.6,0.0,ENERGY_RESOURCE,Storage,Storage,2028,
AG2-290,TC2,OH,Active,Generation Interconnection,AEP,AEP,105.0,38.4,0.0,ENERGY_RESOURCE,Storage,Storage,2028,
AH1-706,TC2,OH,Active,Generation Interconnection,ATSI,ATSI,970.45,30.45,23.82,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2027,
AE1-092,TC1,OH,EP,Generation Interconnection,Dayton,DAY,206.55,206.55,96.4,Capacity,Solar,Solar,2030,
AG1-410,TC1,OH,EP,Generation Interconnection,AEP,AEP,300.0,300.0,180.0,Capacity,Solar,Solar,2030,
AG1-411,TC1,OH,EP,Generation Interconnection,AEP,AEP,400.0,100.0,100.0,Capacity,Storage,Storage,2030,
AH1-719,TC2,OH,Active,Generation Interconnection,AEP,AEP,694.0,24.0,21.0,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2027,
AF2-126,TC1,OH,UC,Generation Interconnection,ATSI,ATSI,62.0,12.0,8.0,Capacity,Solar,Solar,2028,
AH1-711,TC2,OH,Active,Generation Interconnection,ATSI,ATSI,1108.2,408.2,292.5,CAPACITY_RESOURCE,Natural Gas,Natural Gas,2030,
AG2-329,TC2,OH,Active,Generation Interconnection,AEP,AEP,200.0,200.0,156.0,CAPACITY_RESOURCE,Storage,Storage,2028,
AG2-037,TC2,PA,Active,Generation Interconnection,DL,DLCO,4.7,4.7,2.82,CAPACITY_RESOURCE,Solar,Solar,2026,
AH1-452,TC2,PA,Active,Generation Interconnection,APS,APS,19.9,19.9,8.35,CAPACITY_RESOURCE,Solar,Solar,2027,
AG2-621,TC2,PA,Active,Generation Interconnection,ATSI,ATSI,150.0,150.0,150.0,CAPACITY_RESOURCE,Storage,Storage,2028,
AG2-356,TC2,PA,Active,Generation Interconnection,PENELEC,PENLC,20.0,20.0,12.0,CAPACITY_RESOURCE,Solar,Solar,2027,
AF2-050,TC1,PA,EP,Generation Interconnection,PENELEC,PENLC,150.0,50.0,30.0,Capacity,Solar,Solar,2029,
AG2-074,TC2,PA,Active,Generation Interconnection,PPL,PL,38.0,38.0,26.2,CAPACITY_RESOURCE,Solar,Solar,2029,
AG1-377,TC1,PA,EP,Generation Interconnection,PENELEC,PENLC,115.0,20.0,6.0,Capacity,Solar,Solar,2029,
AG1-378,TC1,PA,EP,Generation Interconnection,PENELEC,PENLC,135.0,20.0,6.0,Capacity,Solar,Solar,2029,
AG1-090,TC1,PA,EP,Generation Interconnection,PENELEC,PENLC,95.0,95.0,30.0,Capacity,"Solar,Storage,Hybrid",Solar,2029,
AG2-429,TC2,PA,Active,Generation Interconnection,APS,APS,46.5,46.5,46.5,CAPACITY_RESOURCE,"Solar,Storage,Hybrid",Solar,2028,
AH1-667,TC2,PA,Active,Generation Interconnection,PENELEC,PENLC,18.0,18.0,10.8,CAPACITY_RESOURCE,Solar,Solar,2027,
AF2-296,TC1,PA,EP,Generation Interconnection,PENELEC,PENLC,20.0,20.0,12.0,Capacity,Solar,Solar,2028,
AH1-746,TC2,PA,Active,Generation Interconnection,PENELEC,PENLC,109.9,0.0,20.0,CAPACITY_RESOURCE,Wind,Wind,2026,
AG2-176,TC2,PA,Active,Generation Interconnection,PENELEC,PENLC,150.0,150.0,90.0,CAPACITY_RESOURCE,Solar,Solar,2029,
AG2-166,TC2,PA,Active,Generation Interconnection,PPL,PL,10.0,10.0,0.0,ENERGY_RESOURCE,Solar,Solar,2026,
AH1-695,TC2,PA,Active,Generation Interconnection,ME,METED,859.0,859.0,803.0,CAPACITY_RESOURCE,Nuclear,Nuclear,2027,
AG1-548,TC1,PA,EP,Generation Interconnection,PENELEC,PENLC,150.0,150.0,45.0,Capacity,"Solar,Storage,Hybrid",Solar,2029,
AH1-206,TC2,PA,Active,Generation Interconnection,APS,APS,60.0,60.0,60.0,CAPACITY_RESOURCE,Storage,Storage,2028,
AH1-247,TC2,PA,Active,Generation Interconnection,APS,APS,40.0,40.0,24.0,CAPACITY_RESOURCE,Solar,Solar,2028,
AH1-248,TC2,PA,Active,Generation Interconnection,APS,APS,65.0,25.0,15.0,CAPACITY_RESOURCE,Solar,Solar,2028,
